customer_id,name,email,phone,address
CUST0000,April Johnson,ashleywilliams@hotmail.com,033-006-8702,"9644 Zoe Cove, Petersonchester, RI 91118"
CUST0001,Carrie Gallagher,jeremiahmendez@hotmail.com,187-288-7570,"Unit 8955 Box 6927, DPO AP 61373"
CUST0002,Angela Gray,annawilliams@johnston-flynn.com,+1-638-545-2275,"6876 Ryan Lodge, Garychester, OH 17960"
CUST0003,Jose Francis,ecobb@hotmail.com,+1-205-954-7837x3890,"6660 Brown Park, North Christopher, NH 57602"
CUST0004,Jessica Gross,nboyd@hotmail.com,(123)127-1029,"24527 Roberts Plain Apt. 699, Lake Emily, WA 69627"
CUST0005,Leah Herring,larsonlauren@yahoo.com,(857)782-5589,"293 Holden Via Apt. 460, West Kendrafort, AL 51790"
CUST0006,Jimmy Caldwell,shortryan@hotmail.com,+1-896-950-4602x26637,"6592 Donaldson Viaduct, Nicholsfort, IA 04581"
CUST0007,Lisa Rose,mhorton@gmail.com,(117)602-4729x608,"2111 Solomon Hill Suite 556, New Michael, NC 86165"
CUST0008,William Pearson,nicolebonilla@gmail.com,+1-132-840-7822x41588,"49559 Miles Pine, Murphyburgh, DE 81923"
CUST0009,Brandy Willis,jenkinsscott@johnson.com,299.432.4471x417,"746 Deborah Brooks Apt. 497, Cherylton, CO 81910"
CUST0010,Lawrence Spears,jbrowning@rios.org,+1-566-652-6830x199,"5189 Nelson Course, New Wandafurt, NJ 07952"
CUST0011,Ashley Blevins,justin29@yahoo.com,(855)254-6886x36703,"864 Maldonado Shoal Apt. 062, South Charles, ND 12677"
CUST0012,Gregg Stanley,fisherrobert@key.com,+1-765-481-1563x37573,"63266 Geoffrey Place, Lake Kurthaven, AL 42690"
CUST0013,Sara Stone,gary41@osborn.com,(290)239-9000x92304,"967 Steven Common, West Jeffrey, ID 47697"
CUST0014,Joel Weber,lsmith@norton-hopkins.biz,793.973.0986,"26595 Garner Landing Apt. 389, Smithton, WI 39106"
CUST0015,Gina Rogers,charleshouston@adams.com,4242617835,"88107 Huynh Mountain Apt. 701, Davidview, NV 83132"
CUST0016,Patrick Keith,johnhayes@gmail.com,001-376-988-5233x95465,"7691 Curtis Plaza Suite 365, Michaelton, NH 72908"
CUST0017,Charles Wright,sparrish@hotmail.com,(131)200-1602,"6148 Hudson Crescent, Curtisfurt, SC 84198"
CUST0018,Kevin Ortiz,oyang@jones.com,001-722-449-5583x75839,"101 Fox Alley, Fosterton, MS 87900"
CUST0019,Katelyn Hansen,reedbobby@hotmail.com,935.582.7090,"PSC 4186, Box 8835, APO AP 07221"
CUST0020,David Wolfe,jtaylor@ross.org,001-564-891-1527x76670,"115 Jasmine Brook Apt. 302, Brownstad, KY 71116"
CUST0021,Stacy Ortiz,samanthaconner@heath.info,+1-276-573-1065x624,"Unit 9413 Box 5627, DPO AA 77748"
CUST0022,Vanessa Taylor,mnavarro@gmail.com,978.858.4031x155,"28067 James Parkways, Brandyburgh, MT 72884"
CUST0023,Jenny Foster,lisa15@brown.info,734-942-5526,"87415 Khan Prairie Suite 105, South Tammy, MI 55771"
CUST0024,Beth Davis,joseph05@conley.org,125-236-0504,"67090 Amanda Junction, Port Tammyton, IL 88242"
CUST0025,Jessica Griffith,lucasdavis@avery.com,(955)144-2377x540,"131 Nicole Estates, East Stephanie, FL 80202"
CUST0026,Mr. Mark Perez,robert76@gmail.com,6129270652,"7373 Foster Circles Apt. 191, New Renee, MI 17170"
CUST0027,John Flowers,daniel21@williams.com,(895)379-8228x504,"682 Suzanne Islands Apt. 789, Fowlerchester, AR 36146"
CUST0028,Terri Miller,irwinbrandy@hotmail.com,5681332342,"8800 Johnson Inlet, Ericfort, AK 66972"
CUST0029,Amanda Combs,dmills@garcia.com,(092)294-3646x574,"21296 Brandon Forges, Tammyhaven, NH 43873"
